OTU	total	CL3	CC1	SV1	M31Fcsw	M11Fcsw	M31Plmr	M11Plmr	F21Plmr	M31Tong	M11Tong	LMEpi24M	SLEpi20M	AQC1cm	AQC4cm	AQC7cm	NP2	NP3	NP5	TRRsed1	TRRsed2	TRRsed3	TS28	TS29	Even1	Even2	Even3
4_29	14844	2	3	0	0	1	1	2	0	5	6	27	47	919	5586	8175	42	3	1	2	2	9	1	2	6	0	2
4041AA30	311	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	155	2	147	0	0	0	0	0	2	0	0
A17	9916	1061	4242	417	4	1	4	54	4	5	1	6	66	1505	1046	1003	8	3	5	45	170	227	4	3	17	15	0
Abiotrophia	2822	0	0	0	0	2	2612	120	44	9	0	0	0	0	0	0	0	0	0	1	1	1	0	31	1	0	0
Acaryochloris	12	0	0	0	0	0	0	0	0	0	0	0	0	9	0	3	0	0	0	0	0	0	0	0	0	0	0
Acetivibrio	16	0	0	0	0	1	0	0	0	0	0	0	0	1	5	3	0	0	0	0	4	1	1	0	0	0	0
Acetobacter	38	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Acetobacterium	23	0	0	0	0	0	0	0	0	0	0	0	0	8	4	11	0	0	0	0	0	0	0	0	0	0	0
Acholeplasma	120	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	4	103	11	0	0	0	0	0	0	0	0
Achromatium	185	0	0	0	0	0	0	0	1	0	0	0	3	12	4	2	0	1	4	7	98	53	0	0	0	0	0
Achromobacter	192	9	2	1	0	0	5	53	2	0	0	83	9	4	0	3	0	18	2	0	1	0	0	0	0	0	0
Acidaminococcus	10390	1	1	1	1733	8593	0	43	1	4	0	5	0	2	0	0	0	1	0	0	0	1	0	2	1	1	0
Acidiphilium	82	35	13	9	0	0	0	2	0	0	0	0	0	3	11	8	0	0	0	0	0	0	0	0	1	0	0
Acidisoma	60	57	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Acidobacterium	182	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Acidocella	89	53	10	0	1	0	0	16	1	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0
Acidomonas	11	1	4	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax	64064	564	1596	191	30	17	612	3849	167	51	296	29059	2867	5737	8606	9844	87	319	43	16	13	6	2	24	40	12	16
Acinetobacter	43778	3496	1039	1180	3	6	2624	28420	4430	105	30	96	192	39	37	16	8	1311	478	14	51	13	8	2	79	54	47
Acrocarpospora	28	19	5	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Actinoallomurus	99	46	36	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0
Actinoalloteichus	1105	364	45	680	0	0	0	4	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	3	1	5
Actinobacillus	169183	14	30	9	62	15	20210	578	2997	141481	2660	486	36	83	45	46	9	30	228	10	19	10	23	8	31	41	22
Actinobaculum	39	0	0	0	0	0	37	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinocatenispora	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Actinocorallia	35	4	8	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0
Actinokineospora	285	5	199	57	0	0	4	7	1	0	0	5	0	1	0	1	0	0	1	0	1	0	0	0	2	0	1
Actinomadura	391	50	28	234	0	0	3	13	7	9	1	1	0	5	4	7	0	0	0	1	19	9	0	0	0	0	0
Actinomyces	27406	32	7	4	22	13	11657	517	6478	8127	378	41	5	12	14	7	9	7	12	7	1	1	17	29	3	3	3
Actinomycetospora	499	22	150	226	0	0	12	35	33	0	0	0	0	0	1	2	0	0	0	1	9	4	0	0	1	3	0
Actinoplanes	4032	171	1638	2066	1	2	32	38	41	1	0	3	1	1	2	1	0	1	0	2	6	2	0	0	1	11	11
Actinopolymorpha	27	11	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Actinotalea	369	2	63	94	0	0	39	43	31	0	0	2	1	4	33	51	0	1	1	0	3	1	0	0	0	0	0
Adhaeribacter	495	8	28	388	0	0	40	19	6	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	2
Adlercreutzia	325	1	0	1	70	31	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	32	188	0	0	0
Aequorivita	12	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	2	0	6	0	0	0	0	0	0
Aerococcus	26	0	0	0	0	0	21	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromicrobium	616	16	309	187	0	0	28	42	25	1	0	0	2	0	2	0	0	0	0	0	2	1	0	1	0	0	0
Aeromonas	858	1	3	0	1	1	1	164	11	1	1	222	33	22	6	1	0	64	2	2	1	3	2	1	137	89	89
Aestuariimicrobium	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Afifella	155	9	26	45	0	0	0	0	1	0	0	0	0	12	14	10	0	0	0	4	20	14	0	0	0	0	0
Afipia	135	44	34	1	0	0	0	15	0	0	0	0	0	17	16	8	0	0	0	0	0	0	0	0	0	0	0
Aggregatibacter	4409	0	2	0	0	0	3398	54	659	279	4	1	7	0	0	0	0	0	1	0	1	0	0	0	1	1	1
Agrobacterium	2032	45	127	209	0	0	63	544	66	3	0	23	2	29	38	20	18	228	4	16	515	78	0	0	3	1	0
Agrococcus	73	1	6	40	0	0	1	3	2	0	0	8	0	3	1	2	0	1	0	1	1	0	1	1	0	0	1
Agromyces	6831	18	196	187	1	4	48	244	65	7	91	5672	70	28	76	46	9	46	14	1	0	2	0	1	1	1	3
Akkermansia	19716	15	12	11	10464	5910	1	28	0	7	2	3	0	34	0	2	0	2	0	0	0	7	581	2630	4	0	3
Alcaligenes	3	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcanivorax	275	0	0	0	0	0	0	0	0	2	1	0	0	2	6	6	225	11	2	5	8	6	0	0	1	0	0
Algibacter	54	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	33	9	1	8	0	0	0	0	0	0
Algoriphagus	3589	2	16	59	0	0	0	0	34	2	18	917	2412	17	7	11	0	11	2	12	60	5	1	0	2	0	1
Alicycliphilus	21	0	0	0	0	0	0	4	0	0	0	9	4	1	2	1	0	0	0	0	0	0	0	0	0	0	0
Alicyclobacillus	218	5	81	9	0	0	14	43	13	0	0	0	0	9	10	27	0	0	0	0	5	2	0	0	0	0	0
Aliivibrio	232	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	10	212	6	0	1	0	0	0	0	0	0
Alishewanella	157	10	0	0	0	0	9	1	0	4	0	1	0	6	1	2	9	98	5	0	3	0	0	0	5	3	0
Alistipes	210468	93	68	71	41963	114547	103	32	8	84	22	103	26	104	33	24	3	26	38	41	10	235	11246	3340	14501	12335	11412
Alkalibacterium	78	0	0	0	0	0	5	10	7	0	0	0	0	0	0	0	0	1	55	0	0	0	0	0	0	0	0
Alkalimonas	23	0	0	0	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	1	5	1	0	0	5	3	3
Alkaliphilus	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	7	4	0	0	0	0	0
Alkanindiges	934	9	451	0	0	0	68	146	8	0	2	6	66	6	14	9	0	3	1	13	93	32	0	0	3	3	1
Allobaculum	6	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Allochromatium	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0
Alloiococcus	53	0	0	0	0	0	0	49	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Alloscardovia	110	2	3	11	0	0	6	3	10	0	6	64	0	0	1	1	0	0	1	0	0	0	0	0	2	0	0
Alteromonas	4096	0	1	1	1	0	0	0	10	3	0	2	0	23	84	31	2505	1365	28	1	11	17	2	1	7	1	2
Alysiella	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amaricoccus	4587	8	139	54	1	1	12	3834	43	9	6	14	4	17	43	28	41	95	103	29	71	26	0	1	5	0	3
Ammoniphilus	19	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	1	0	0
Amphritea	552	0	0	0	0	0	0	0	0	1	1	1	0	7	14	14	1	36	34	38	383	22	0	0	0	0	0
Amycolatopsis	1023	198	63	684	0	1	0	19	1	0	3	34	1	3	1	7	2	1	0	0	3	0	0	0	0	0	2
Anabaena	1691	0	4	3	0	5	0	1	1	8	35	1614	1	0	1	10	4	0	1	0	1	0	1	1	0	0	0
Anabaenopsis	8	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerobacillus	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerobiospirillum	57	43	8	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerococcus	131499	71	102	46	6364	62	8432	9898	1021	39	21	21	13	159	17	6	2	15	28	102	8	320	125	18	37208	36009	31392
Anaerofustis	27231	29	23	19	5	1	2	0	0	4	7	0	5	31	4	1	1	8	4	26	0	65	23	39	10282	8000	8652
Anaeroglobus	49	0	0	0	0	0	46	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerolinea	3448	0	0	0	0	0	0	2	0	1	2	5	9	497	1754	1154	9	1	0	1	5	2	1	0	5	0	0
Anaeromyxobacter	9001	38	259	79	0	0	2	1	0	5	1	16	29	2200	3106	3214	15	2	4	1	1	5	1	7	15	0	0
Anaeroplasma	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerostipes	156	7	0	1	12	29	0	0	1	1	0	0	0	5	35	27	0	0	0	0	1	4	31	0	1	0	1
Anaerotruncus	13504	9	10	5	50	124	1	0	0	7	1	2	0	12	1	0	0	4	2	6	0	49	310	27	5234	3634	4016
Anaerovorax	3742	1	0	0	3601	22	7	86	8	1	0	1	0	2	0	0	0	0	0	0	0	1	9	1	0	1	1
Ancylobacter	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aneurinibacillus	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anoxybacillus	4	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Antarctobacter	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	2	0	0	0	0	0	0	0	0
Aphanizomenon	121	0	0	0	0	0	0	0	1	0	1	37	15	6	32	29	0	0	0	0	0	0	0	0	0	0	0
Aphanothece	19	0	0	0	0	0	0	0	0	0	0	3	1	7	4	4	0	0	0	0	0	0	0	0	0	0	0
Aquabacterium	6256	25	487	297	0	0	19	1084	118	10	6	378	498	170	437	380	243	1993	104	3	1	0	0	1	1	0	1
Aquamonas	4376	70	650	27	0	0	15	303	0	6	5	320	1661	298	641	364	3	1	2	0	0	1	1	3	1	1	3
Aquicella	2834	126	2461	13	0	0	0	1	0	2	0	0	9	48	28	37	0	15	2	14	69	5	0	0	2	2	0
Aquiflexum	81	0	0	1	0	3	0	1	0	0	0	2	1	19	47	6	0	0	1	0	0	0	0	0	0	0	0
Aquimarina	226	2	12	82	0	0	2	5	0	1	1	1	0	2	2	0	0	81	25	0	2	7	0	0	0	0	1
Aquimonas	454	1	2	0	0	0	0	12	0	0	5	354	1	6	18	10	0	3	15	1	17	9	0	0	0	0	0
Aquitalea	10	0	4	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	1	0
Arcanobacterium	238	0	1	3	0	1	32	12	6	167	6	3	0	3	0	0	0	0	1	0	0	1	0	0	1	1	0
Arcobacter	395	10	0	0	0	0	4	2	4	0	0	2	2	3	1	0	28	305	27	1	5	1	0	0	0	0	0
Arctic95A_2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
Arhodomonas	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	26	0	0	0	0	0
Armatimonas	165	5	27	77	0	0	0	7	3	0	1	5	22	8	5	4	0	0	0	0	0	0	0	1	0	0	0
Arsenicicoccus	92	0	0	0	0	0	5	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arsenophonus	37	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	13	7
Arthrobacter	4588	209	1942	443	1	0	536	712	439	3	3	0	24	19	44	61	0	2	2	2	81	51	1	2	3	6	2
Asaia	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asticcacaulis	230	29	173	2	0	0	0	6	0	0	0	0	15	2	2	0	0	0	0	0	0	0	0	0	0	1	0
Atopobium	2477	1	0	0	0	2	358	92	338	1604	39	18	0	0	2	1	0	3	3	1	1	1	1	6	2	3	1
Aurantimonas	1227	68	166	73	0	0	28	407	19	1	2	4	4	30	27	18	13	253	3	6	83	18	0	1	2	1	0
Aureispira	868	0	0	0	0	0	0	0	0	2	0	0	1	7	2	0	1	783	62	3	7	0	0	0	0	0	0
Averyella	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2
Avibacterium	4	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azoarcus	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azohydromonas	8536	103	807	83	1	0	2	17	2	5	40	3584	40	763	1613	1437	15	4	3	1	0	3	0	4	4	5	0
Azomonas	7	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0
Azonexus	8	0	0	0	0	0	0	0	0	0	0	2	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0
Azorhizobium	44	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	20	9	12	0	0	0	0	0	0	0	0
Azorhizophilus	12	2	1	0	0	0	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azospira	209	0	1	3	0	0	0	193	3	1	0	0	0	2	1	4	0	0	1	0	0	0	0	0	0	0	0
Azospirillum	216	2	44	131	0	0	0	18	0	0	0	0	6	2	6	2	0	2	1	0	0	1	0	0	0	0	1
Azotobacter	503	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	1	3	2	25	23	442	2	0	1	0	0
Azovibrio	99	0	4	0	0	0	0	0	0	0	0	18	3	11	32	31	0	0	0	0	0	0	0	0	0	0	0
Bacillus	5226	1391	775	426	2	1	842	522	399	51	5	15	8	20	57	61	0	4	17	2	297	251	7	2	34	18	19
Bacillus_1	12	0	1	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	5	1	0	0	0	0	0
Bacteriovorax	647	1	1	1	1	0	0	0	0	0	3	0	0	12	7	2	18	541	19	11	28	1	0	0	0	1	0
Bacteroides	2601720	2904	1055	1319	698930	1085101	546	370	108	799	257	880	143	1403	264	222	81	279	297	641	84	2977	118567	54865	235952	189022	204654
Bacteroides_1	593	1	0	0	165	32	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	133	136	123
Bacteroides_2	9516	12	5	1	1	2	7	0	0	2	2	2	1	10	1	1	0	5	1	5	1	26	7	1	3742	2573	3108
Balneimonas	3551	14	55	3090	0	1	19	284	62	1	0	2	0	0	0	0	0	0	0	2	6	4	0	0	0	1	10
Balneola	4164	2	1	0	1	1	0	0	0	16	2	3	2	6	24	8	1326	165	2572	4	27	0	1	0	1	1	1
Bartonella	394	0	5	2	0	0	2	3	3	0	1	2	131	73	83	83	0	0	0	1	3	0	0	0	2	0	0
BD2_13	191	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	32	15	14	89	34	0	0	2	0	0
BD2_6	289	0	1	0	0	0	0	0	0	0	1	0	0	1	1	3	0	50	1	1	4	222	0	0	4	0	0
Bdellovibrio	3302	474	1197	545	0	1	2	132	1	3	3	141	58	152	304	266	1	0	0	1	7	1	1	1	3	4	4
Beggiatoa	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Beijerinckia	830	3	19	29	0	0	0	1	0	0	2	1	6	200	281	284	1	0	1	0	0	0	0	0	2	0	0
Bellilinea	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bergeriella	113	0	0	0	0	0	4	0	2	105	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bergeyella	85	0	0	0	0	0	16	40	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHB21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bibersteinia	15	0	0	0	0	0	3	0	0	8	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Bifidobacterium	430423	125	140	87	818	391	22	77	19	111	41	45	18	1253	26	23	7	45	34	186	20	1045	26763	128069	104181	78223	88654
Bilophila	1756	1	0	0	1396	14	5	0	8	1	2	2	2	3	0	0	0	0	0	0	0	1	5	314	1	0	1
Bizionia	43	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	28	6	0	1	1	0	0	0	0	0
Blastochloris	17	2	1	0	0	0	0	0	0	0	0	0	0	2	5	6	0	0	0	0	0	0	0	1	0	0	0
Blastomonas	139	9	17	18	0	1	1	49	25	2	0	0	15	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Blastopirellula	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0
Blattabacterium	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blautia	171086	163	90	88	21210	1127	147	102	13	377	38	27	12	424	16	17	3	20	23	65	13	428	20039	44843	32231	23000	26570
Bordetella	401	11	5	11	0	0	0	1	0	0	5	259	35	4	0	1	1	66	2	0	0	0	0	0	0	0	0
Bosea	2246	6	153	280	2	0	30	1603	9	3	5	77	1	6	4	1	4	56	0	0	1	1	0	1	2	1	0
Brachybacterium	779	0	0	1	0	0	156	597	16	1	0	1	1	0	0	0	0	1	1	0	3	0	0	1	0	0	0
Brachymonas	6150	440	308	1472	0	0	83	410	90	3	9	214	2903	37	52	48	1	49	5	3	7	0	0	3	6	4	3
Bradyrhizobium	12028	5013	5361	152	3	1	24	101	12	6	3	1	8	235	518	485	3	41	18	0	2	4	1	1	15	18	2
Brenneria	25	1	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	8	5	6
Brevibacillus	19	0	8	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
Brevibacterium	1485	3	0	0	0	2	413	1037	19	0	1	2	0	0	0	0	0	0	4	0	3	0	0	1	0	0	0
Brevundimonas	9676	78	291	569	2	3	383	2669	354	9	11	222	3913	66	43	26	965	52	7	0	2	1	0	1	4	1	4
Buchnera	819	0	0	0	0	0	698	60	55	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	2
Bulleidia	1391	0	1	0	5	1	722	48	29	548	15	1	1	0	0	0	0	0	0	0	0	0	5	0	4	5	6
Burkholderia	37100	26346	9003	143	8	7	15	392	29	21	2	45	465	72	93	67	37	8	102	1	7	15	6	5	177	29	5
Buttiauxella	71	0	1	1	0	0	0	1	15	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	12	15	23
Butyrivibrio	711	20	4	3	18	13	34	7	20	383	17	12	0	1	0	0	1	3	0	0	3	2	10	33	51	33	43
C1_B004	1481	0	0	0	0	0	0	0	0	0	0	4	3	186	652	627	1	0	0	4	2	0	0	0	2	0	0
Caedibacter	75	0	4	0	0	0	0	0	0	0	0	1	9	35	20	4	0	0	0	0	0	1	0	0	1	0	0
Caldilinea	2735	39	113	112	1	0	0	4	0	3	1	3	0	1075	685	650	3	1	1	17	13	2	0	3	6	2	1
Caldimonas	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caloramator	234	2	88	0	0	0	0	0	3	0	0	0	1	21	47	67	0	0	0	0	0	4	0	1	0	0	0
Calothrix	23	0	0	0	0	0	0	1	0	1	0	19	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Campylobacter	42053	39	13	4	1436	16	4311	173	3257	31719	728	136	10	32	17	13	5	15	60	3	7	6	17	8	10	11	7
CandidatusAmoebophilus	218	1	8	10	0	0	0	0	0	0	0	4	0	31	103	56	1	0	0	0	2	1	0	1	0	0	0
CandidatusAnammoxoglobus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CandidatusAquiluna	14632	5	7	18	0	6	0	5	2	19	127	10512	1232	25	15	29	585	1340	675	2	5	1	1	1	7	6	7
CandidatusAquirestis	31395	2	0	3	3	2	1	3	1	15	18	189	30706	214	35	169	2	2	5	3	2	1	6	4	6	1	2
CandidatusAzobacteroides	78	31	1	3	0	0	1	0	0	0	0	0	1	4	6	5	0	0	0	1	1	2	0	0	8	7	7
CandidatusBlochmannia	65	10	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	2	34	3	0	0	0	0	0
CandidatusBrocadia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusCloacamonas	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CandidatusEndobugula	213	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	5	37	5	60	97	7	0	0	0	0	0
CandidatusEntotheonella	1282	819	380	44	0	1	0	0	0	0	0	1	0	1	2	11	0	0	0	0	6	11	0	1	4	1	0
CandidatusHamiltonella	3	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusKoribacter	13286	10714	2359	9	2	7	0	29	2	3	0	4	0	9	24	43	2	2	3	0	2	5	2	0	52	11	2
CandidatusMethanoregula	282	0	0	0	0	0	0	0	0	0	0	0	0	9	127	146	0	0	0	0	0	0	0	0	0	0	0
CandidatusMethylacidiphilum	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusMethylomirabilis	3	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusNitrososphaera	30796	234	983	28774	1	1	40	75	128	4	1	3	1	1	3	4	0	2	0	22	286	139	3	3	7	7	74
CandidatusOdyssella	1496	36	63	12	0	1	0	6	0	1	0	153	1050	53	29	27	0	50	10	0	1	1	0	1	1	1	0
CandidatusPelagibacter	177698	24	14	13	26	41	11	23	35	760	128	4438	6878	533	2172	527	73153	9642	78772	156	42	33	47	42	108	31	49
CandidatusPhlomobacter	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CandidatusPortiera	271707	19	10	20	25	19	16	19	21	1636	160	79	43	575	1121	293	35483	48292	183197	353	68	27	49	21	88	34	39
CandidatusProtochlamydia	133	14	74	12	0	0	0	18	0	0	0	0	1	0	3	7	0	0	0	0	2	2	0	0	0	0	0
CandidatusRegiella	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusRhabdochlamydia	292	111	150	4	0	0	0	4	0	0	0	1	3	2	4	8	0	0	0	0	5	0	0	0	0	0	0
CandidatusRhodoluna	6680	1	18	3	0	3	1	5	0	4	98	6428	39	3	3	9	8	32	16	3	0	0	0	1	1	0	4
