OTU	total	CL3	CC1	SV1	M31Fcsw	M11Fcsw	M31Plmr	M11Plmr	F21Plmr	M31Tong	M11Tong	LMEpi24M	SLEpi20M	AQC1cm	AQC4cm	AQC7cm	NP2	NP3	NP5	TRRsed1	TRRsed2	TRRsed3	TS28	TS29	Even1	Even2	Even3
Gordonia	5577	1	1	3	0	0	97	5380	39	13	4	10	0	3	1	2	0	2	0	1	5	11	1	0	1	0	2
GOUTA19	4219	0	1	0	0	0	0	0	0	2	1	10	21	338	1366	2450	12	1	4	1	5	4	0	2	1	0	0
GOUTA7	38	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	33	0	0	0	0	0
Gramella	54	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	41	4	0	5	3	0	0	0	0	0
Granulicatella	22140	4	5	3	7	5	11543	288	671	9314	172	55	5	6	5	5	0	4	22	0	2	1	2	5	8	2	6
Haematobacter	325	0	0	0	1	0	2	77	2	0	0	49	2	44	89	44	0	11	2	0	0	0	0	1	1	0	0
Haemophilus	456928	38	74	35	179	69	40060	1069	6621	397093	7435	1926	121	376	137	176	53	134	714	40	72	46	82	47	138	127	66
Hahella	233	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	7	4	96	119	2	0	0	0	1	0
Haliangium	647	35	90	515	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	1	0	0	0	0	1
Haliscomenobacter	112	0	14	0	0	0	0	0	0	1	0	4	35	6	6	6	0	21	1	12	3	1	0	0	0	2	0
Haloanella	440	0	28	0	0	0	2	37	368	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Haloarcula	17	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Halobacillus	12	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	3	1	0	0	0	0	0
Halochromatium	105	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	3	59	40	0	0	0	0	0
Haloferula	363	1	3	2	0	0	0	0	0	1	1	1	21	247	17	11	0	2	0	48	6	0	0	0	2	0	0
Halolactibacillus	7	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0
Halomicrobium	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Halomicronema	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
Halomonas	1862	3	2	1	0	0	2	86	0	18	3	27	1	4	5	5	3	20	1659	3	15	4	1	0	0	0	0
Haloplasma	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Haloterrigena	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Halothiobacillus	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0
HB118	17	0	0	0	0	0	0	0	0	0	0	0	1	1	5	10	0	0	0	0	0	0	0	0	0	0	0
HB2_32_21	285	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	2	2	25	217	35	0	0	0	0	0
Helcococcus	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helicobacter	29	18	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Herbaspirillum	932	12	18	1	0	0	1	1	0	0	1	22	3	171	476	220	4	0	0	0	0	0	0	0	1	0	1
Hirschia	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0
Histophilus	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Holdemania	12882	5	11	4	378	51	1	1	3	2	3	0	0	18	1	0	0	3	1	14	2	36	180	232	4972	2641	4323
HTCC	23171	5	4	3	3	3	1	6	4	62	11	9	9	125	194	45	5136	10895	3670	503	2138	308	4	5	13	8	7
HTCC2207	48149	3	4	2	5	1	0	8	1	79	9	10	0	295	61	18	1002	40011	6559	10	16	10	3	3	25	7	7
Hydrocarboniphaga	70	0	56	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	11	0	0	0	0	0	0
Hydrogenophaga	4055	5	6	2	0	0	1	38	2	3	45	3715	52	47	62	47	12	12	1	1	0	0	0	1	2	1	0
Hydrogenophilus	11037	4	0	0	1	2	4	10239	700	25	15	8	2	3	5	3	0	8	4	2	1	0	0	3	5	3	0
Hylemonella	14829	719	1521	99	1	2	49	6067	168	19	77	4966	119	111	515	227	8	121	13	3	2	0	0	3	7	6	6
Hymenobacter	5389	46	194	2579	0	0	444	1314	238	3	4	4	513	5	2	6	0	2	1	5	4	0	0	0	1	3	21
Hyphomicrobium	11419	80	1442	246	3	1	41	220	24	3	4	10	25	2346	3820	2970	26	23	5	1	71	22	3	9	18	3	3
Hyphomonas	210	0	1	3	0	0	0	0	1	0	1	150	11	6	10	6	0	5	0	0	9	7	0	0	0	0	0
Iamia	706	168	160	218	0	0	21	53	14	1	0	0	1	36	15	12	0	0	0	0	2	0	0	0	2	2	1
Ideonella	104	3	1	2	0	0	0	19	1	0	0	21	6	18	20	9	0	2	0	0	0	1	0	0	0	1	0
Ignatzschineria	5	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Ignavibacterium	2077	0	0	0	0	0	0	0	0	0	2	1	6	344	959	677	8	2	0	5	22	49	0	1	1	0	0
Inquilinus	139	75	16	1	0	0	0	0	0	0	0	0	0	0	4	2	0	0	1	14	23	3	0	0	0	0	0
Iodobacter	11	0	0	0	0	0	0	0	0	0	0	0	9	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Isoptericola	24	1	4	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	1
J2_29	4566	3047	471	889	2	0	49	2	3	22	1	0	1	2	0	2	2	30	25	1	0	0	1	0	10	1	5
Janibacter	558	17	19	8	0	0	10	468	11	12	0	8	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0
Jannaschia	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
Janthinobacterium	3273	74	965	759	0	0	344	773	92	2	0	32	179	6	4	7	0	1	0	1	2	2	0	0	8	15	7
Jeotgalicoccus	36	0	2	0	0	0	20	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JG37_AG_70	76	3	65	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	2	0	0	0	0	1	0
Jiangella	6	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Johnsonella	244	0	0	0	0	0	134	1	98	8	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jonesia	39	14	4	2	0	0	1	1	0	0	0	6	0	1	1	1	1	1	1	0	2	3	0	0	0	0	0
Jonquetella	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaistella	19	0	0	0	0	0	4	3	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
Kaistia	201	14	54	0	0	0	0	0	0	0	0	0	0	40	63	28	0	1	0	0	1	0	0	0	0	0	0
Kaistobacter	28317	1726	6288	18459	6	1	263	997	337	9	3	5	19	5	11	4	2	30	13	2	35	12	3	4	19	18	46
Kangiella	316	0	0	0	0	1	0	0	0	0	0	0	0	3	2	1	8	190	5	14	81	11	0	0	0	0	0
Ketogulonicigenium	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0
Kibdelosporangium	158	5	3	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiloniella	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Kineococcus	174	2	5	22	0	0	21	88	22	0	1	5	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Kineosporia	275	10	59	155	0	0	0	28	1	0	0	8	0	3	7	1	0	0	0	0	0	0	0	0	0	2	1
Kingella	202420	14	15	16	13	11	5748	238	3882	190460	1104	100	57	103	44	25	5	40	373	15	13	12	30	18	37	21	26
Kitasatospora	45	1	12	2	0	0	0	0	1	0	0	0	0	5	11	13	0	0	0	0	0	0	0	0	0	0	0
Klebsiella	17337	17	28	3	8	1	205	333	333	5	3	2	19	17	5	1	3	41	52	5	2	32	4	4	5658	4758	5798
Knoellia	583	0	290	0	0	1	75	140	63	2	0	0	1	1	2	2	0	0	0	0	2	1	0	0	0	3	0
Kocuria	7301	13	56	74	1	1	616	4506	1700	32	11	39	22	4	10	10	17	64	75	6	24	16	1	0	0	2	1
Kordia	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	6	0	0	0	0	0	0	0	0
Kordiimonas	529	1	0	0	0	0	0	0	1	1	0	0	0	1	2	0	1	1	1	2	322	192	3	0	0	1	0
Kouleothrix	10	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kribbella	1797	38	60	1683	0	0	2	1	1	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	1	1	5
KSA2	301	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	4	84	132	75	1	0	0	0	0
Kurthia	130	72	10	11	0	0	4	14	17	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Kushneria	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
Kutzneria	392	385	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0
Kytococcus	147	1	21	0	0	0	9	12	6	78	3	3	1	1	0	0	0	0	0	4	6	2	0	0	0	0	0
Labrenzia	14	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	4	0	0	0	0	0	0
Labrys	2765	792	1406	440	0	0	4	5	3	2	1	3	1	19	35	32	0	1	0	1	7	2	1	1	3	5	1
Lachnobacterium	8691	5	4	3	2691	1001	1	0	0	4	1	1	1	10	0	0	0	2	0	4	0	31	1860	461	1046	741	824
Lachnospira	128052	96	28	28	85081	33664	34	66	0	68	21	35	11	20	19	8	1	22	16	2	10	98	8135	145	181	112	151
Lacinutrix	2907	1	0	0	0	0	0	0	0	6	0	1	0	21	2	0	29	2152	228	14	399	53	0	0	1	0	0
Lactobacillus	2685	5	3	8	31	6	1028	514	929	30	1	2	2	2	2	1	1	1	18	0	2	0	41	56	0	2	0
Lactococcus	95	38	0	0	1	0	14	26	4	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	3
Lamprocystis	127	0	0	0	0	0	0	0	0	0	0	2	0	26	57	40	0	0	0	0	0	0	0	0	2	0	0
Lampropedia	72	0	4	3	0	0	7	14	10	0	0	17	0	3	6	6	0	0	0	0	0	0	0	0	2	0	0
Laribacter	777	0	1	0	0	0	0	0	0	0	0	0	2	156	302	313	0	1	0	0	0	0	0	1	1	0	0
Lautropia	9496	0	2	7	1	4	7879	52	1220	303	7	6	1	1	0	2	0	1	2	1	0	0	2	0	2	1	2
LCP_6	4750	0	0	0	0	1	0	0	1	0	1	16	22	441	1928	2304	13	1	1	0	0	14	0	1	4	1	1
LE30	58	0	0	0	0	57	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leclercia	27	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	8	10
Leeuwenhoekiella	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Legionella	1879	213	747	16	0	0	9	84	1	0	1	280	96	22	33	38	1	1	0	7	228	91	0	0	4	6	1
Lentibacillus	19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	10	1	0	0	0	0
Lentisphaera	329	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	21	266	39	0	0	0	0	0	0	0	0
Leptolyngbya	352	0	0	1	0	0	0	0	7	0	0	1	3	170	94	60	2	9	3	1	0	0	1	0	0	0	0
Leptonema	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0
Leptospira	44	0	7	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leptothrix	796	3	0	0	0	0	1	19	0	2	5	373	115	66	93	115	1	2	0	0	0	0	0	1	0	0	0
Leptotrichia	31209	1	3	5	5	6	15084	484	2065	12335	1097	21	15	7	5	4	3	8	28	7	3	3	5	1	7	3	4
Leucobacter	966	5	11	34	0	0	20	17	1	0	9	839	11	8	3	4	1	0	1	0	2	0	0	0	0	0	0
Leuconostoc	408	1	0	0	0	16	127	187	9	1	0	0	0	1	0	0	1	0	1	0	1	0	1	62	0	0	0
Leucothrix	345	6	22	1	1	0	2	26	2	0	0	2	0	3	5	6	1	124	6	3	103	25	1	0	3	3	0
Levilinea	414	0	0	0	0	0	0	0	0	0	0	0	1	47	205	160	1	0	0	0	0	0	0	0	0	0	0
Lewinella	577	0	0	0	0	1	0	0	0	0	0	0	8	3	0	0	0	102	45	66	226	123	1	0	2	0	0
Limnobacter	74	2	17	4	0	1	1	4	0	0	0	9	0	6	11	16	0	1	1	0	1	0	0	0	0	0	0
Limnohabitans	47873	30	81	21	2	6	1	142	6	61	408	31079	13575	432	983	955	10	14	9	13	4	3	2	2	13	5	16
Limnothrix	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Listeria	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Litincola	280	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	113	124	37	0	0	0	1	0	0	0	0
Loktanella	10190	2	1	6	1	2	1	3	0	17	1	5	4	44	138	43	5485	3116	1265	3	27	6	6	0	9	3	2
LP2A	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Luedemannella	680	114	530	28	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	2	0
Luteibacter	228	81	75	0	0	0	0	5	3	0	0	0	6	1	22	22	0	0	2	0	8	2	0	0	0	1	0
Luteimonas	1008	321	543	8	0	0	0	73	1	0	1	11	0	5	12	5	0	0	0	1	20	0	0	0	2	3	2
Luteolibacter	101936	85	917	86	5	11	29	56	3	85	537	39991	2450	40863	8180	7809	56	83	117	123	45	22	10	96	232	18	27
Lutibacterium	969	3	19	680	0	0	21	86	30	1	0	0	0	2	0	2	7	1	0	55	54	7	0	0	0	0	1
Lutimonas	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Lysinibacillus	1055	552	212	167	0	0	11	26	5	1	1	0	0	2	9	8	0	0	0	0	35	20	1	0	4	1	0
Lysobacter	9223	594	2039	749	0	0	41	275	14	11	72	5053	13	131	73	35	2	6	2	1	16	5	1	0	31	28	31
Macrococcus	55	0	0	0	0	0	44	8	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magnetococcus	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Magnetospirillum	279	252	8	1	0	0	0	5	2	0	1	0	8	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Malikia	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mannheimia	12	0	0	0	0	0	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maribacter	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	7	0	0	0	0	0	0	0	0
Maribius	24	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	12	3	1	0	0	0	0	0
Maricaulis	448	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	16	416	0	0	4	6	0	0	0	0	0
Marichromatium	44	0	0	0	0	0	0	0	0	0	1	0	0	14	13	6	0	2	0	4	4	0	0	0	0	0	0
Marinibacillus	7	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Marinobacter	329	0	1	0	0	0	0	0	0	3	0	1	0	1	8	7	111	23	32	12	117	13	0	0	0	0	0
Marinobacterium	682	0	0	0	0	0	0	0	0	1	0	0	0	2	3	4	4	71	4	33	237	321	0	0	2	0	0
Marinococcus	360	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	10	347	1	0	0	0	0	0	0	0
Marinomonas	586	3	6	0	0	0	23	14	6	0	0	1	2	4	2	1	9	309	26	16	119	44	0	0	1	0	0
Marinospirillum	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Marinovum	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	18	3	2	0	0	0	0	0	0	0
Mariprofundus	13359	4	0	1	0	2	1	1	3	2	2	0	0	5	3	2	2	11	5	493	3689	9037	27	3	61	4	1
Marivita	126	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	73	41	1	1	0	0	0	0	0	0
Marmoricola	404	16	228	31	0	0	17	88	16	0	0	0	0	2	0	0	0	0	0	0	3	2	0	0	0	0	1
Martelella	273	154	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	1	8	4	0	0	0	0	0
Massilia	14126	711	3972	6371	0	1	583	1612	276	6	6	21	438	14	30	20	1	1	5	4	5	1	1	1	9	21	16
MC18	315588	48941	239547	20195	69	55	77	342	24	45	23	271	33	2287	1139	945	13	34	24	16	267	130	32	20	298	683	78
Mechercharimyces	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Megamonas	45	24	6	3	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Melissococcus	3	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesonia	43	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	2	37	0	0	0	0	0	0	0	0
Mesorhizobium	753	172	512	12	0	1	2	28	1	0	0	0	0	4	3	5	0	0	0	0	3	5	0	0	1	4	0
Methanobacterium	6505	1	0	0	0	0	0	1	0	2	2	23	25	766	2649	2997	22	5	1	1	1	1	1	3	3	0	1
Methanobrevibacter	3538	0	1	0	27	54	0	0	0	4	0	1	0	28	98	66	0	1	1	0	2	13	1568	1670	2	0	2
Methanocorpusculum	18	11	2	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanolinea	16	0	0	0	0	0	0	0	0	0	0	0	0	1	8	7	0	0	0	0	0	0	0	0	0	0	0
Methanosaeta	326	0	0	0	0	0	0	0	0	0	0	1	0	12	151	162	0	0	0	0	0	0	0	0	0	0	0
Methanosarcina	114	0	0	0	0	0	0	0	0	0	0	0	0	8	42	61	1	0	0	0	1	1	0	0	0	0	0
Methanosphaera	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Methanosphaerula	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Methylarcula	12662	5	3	4	3	6	2	1	1	43	11	8	3	38	192	63	6929	427	4892	6	5	2	4	3	6	2	3
Methylibium	62611	1985	8218	2029	8	8	64	269	24	32	44	2407	1568	12527	18212	14823	90	40	26	3	15	9	10	29	103	48	20
Methylobacillus	14	0	0	0	0	0	0	0	0	1	2	1	1	1	2	1	0	0	2	0	0	1	0	0	2	0	0
Methylobacterium	8882	24	312	4225	3	1	349	1789	145	5	2	2	722	11	6	6	10	1244	5	0	3	0	0	2	4	1	11
Methylocaldum	5091	0	4	1	0	2	0	0	0	6	3	7	10	963	2065	1976	12	6	3	1	13	4	1	5	7	2	0
Methylocella	6	0	0	0	0	0	0	1	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0
Methylococcus	1324	0	0	0	0	0	0	0	0	1	2	6	3	131	589	563	5	8	0	2	10	2	0	0	2	0	0
Methylocystis	513	0	7	90	0	0	0	0	4	0	0	1	31	101	134	115	2	0	0	1	20	6	0	0	1	0	0
Methylomicrobium	72	0	0	0	0	0	0	0	0	0	0	0	0	4	34	32	0	2	0	0	0	0	0	0	0	0	0
Methylomonas	1864	0	8	8	0	0	0	0	0	4	0	6	7	84	833	715	22	23	76	15	41	20	0	0	1	1	0
Methylophaga	1390	0	2	0	0	0	1	0	0	16	1	2	2	9	17	11	13	551	165	55	406	113	0	1	16	5	4
Methylophilus	165	0	12	0	0	0	71	78	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0
Methylopila	269	45	43	56	0	0	4	5	0	0	0	14	0	31	37	13	0	10	4	2	4	0	0	0	1	0	0
Methylosarcina	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	61	10	0	0	1	0	0
Methylosinus	5162	97	249	148	0	0	0	266	1	4	3	32	10	1058	1430	1475	9	4	3	20	206	135	1	3	6	2	0
Methylosphaera	23	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	14	0	1	2	1	0	0	0	0	0
Methylotenera	63418	39	242	26	30	7	290	138	75	45	31	137	6068	8241	23863	21743	1361	717	252	5	8	9	5	24	46	10	6
Methyloversatilis	9076	302	710	626	1	5	16	89	61	10	12	595	270	623	2196	2986	24	13	47	34	283	152	1	1	11	7	1
Methylovorus	31	0	0	0	1	0	0	12	0	2	0	1	4	3	5	1	0	0	0	0	0	1	0	1	0	0	0
Microbacterium	1104	57	255	88	0	0	66	82	12	1	7	425	50	3	8	3	5	21	18	1	1	0	0	1	0	0	0
Microbispora	74	42	27	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
Microbulbifer	82	0	0	0	0	0	0	0	0	15	1	0	0	1	1	0	4	20	3	6	17	13	0	0	1	0	0
Microcella	8532	5	49	54	2	5	14	26	5	3	88	6436	449	18	29	29	142	785	381	3	2	0	0	0	1	0	6
Micrococcus	16876	2	8	0	2	2	3944	12250	576	18	14	12	3	8	3	2	0	10	8	0	3	1	2	2	3	0	3
Microcoleus	16793	40	224	14575	2	4	6	15	0	4	1	3	16	1689	80	5	2	15	5	10	2	1	2	13	10	5	64
Microcystis	20978	0	0	6	0	0	0	0	1	10	173	20714	5	9	13	20	1	0	3	5	1	0	0	1	2	1	13
Microlunatus	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micromonospora	14986	546	2069	11979	2	0	43	61	83	6	1	1	1	8	26	11	0	2	5	12	19	12	6	5	8	13	67
Microscilla	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Microtetraspora	5	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Microvirgula	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mitsuaria	159	6	2	30	0	0	0	0	0	1	1	3	1	11	68	34	1	0	0	0	0	0	0	0	0	1	0
Mitsuokella	19525	9	11	8	1	2	4	0	0	3	1	0	2	20	6	2	0	3	3	17	1	48	7	2	7405	5883	6087
ML110J_20	47	0	0	0	0	0	0	0	0	1	0	1	0	1	4	4	16	8	4	2	4	2	0	0	0	0	0
Mobiluncus	152	0	0	0	29	0	105	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Modestobacter	1235	16	235	910	0	0	17	38	8	0	0	1	0	0	0	0	0	0	0	0	3	3	0	1	0	0	3
Mogibacterium	1099	1	0	1	6	1	682	38	46	291	21	2	0	0	0	0	0	0	0	0	0	0	2	6	1	1	0
Moraxella	1548	14	44	0	1	0	352	397	179	0	0	1	0	2	5	2	1	4	15	4	445	80	1	0	0	1	0
Morganella	71558	27	47	34	3	3	9	7	4	45	7	9	3	100	13	7	7	50	29	65	19	233	39	20	27145	19888	23745
Moritella	80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	25	35	0	0	0	0	1	0	0	1
Moryella	150	0	0	0	3	1	74	0	2	53	2	1	0	0	0	0	0	0	0	0	0	1	4	4	3	2	0
MSBL3	670	0	0	0	0	0	0	0	0	0	4	161	1	64	54	47	5	103	174	24	28	4	0	0	1	0	0
Muricauda	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	27	114	31	0	0	0	0	0
Myceligenerans	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycetocola	121	1	6	48	0	0	1	1	0	1	0	56	0	0	0	2	1	3	0	0	0	0	0	0	0	0	1
